date,equity,peak,dd,year,month
2025-12-19,28012.482788085938,30910.046997070312,-0.09374182476199433,2025,2025-12
2025-12-22,28505.793579101562,30910.046997070312,-0.077782263423819,2025,2025-12
2025-12-23,28722.632690429688,30910.046997070312,-0.07076709740518838,2025,2025-12
2025-12-24,28354.006469726562,30910.046997070312,-0.08269287094859523,2025,2025-12
2025-12-25,28391.953247070312,30910.046997070312,-0.08146521906740123,2025,2025-12
2025-12-26,28402.794799804688,30910.046997070312,-0.0811144737988676,2025,2025-12
2025-12-29,28522.057250976562,30910.046997070312,-0.07725610207969225,2025,2025-12
2025-12-30,28484.110473632812,30910.046997070312,-0.07848375396088636,2025,2025-12
2026-01-05,29047.892700195312,30910.046997070312,-0.06024430493591604,2026,2026-01
2026-01-06,29915.251831054688,30910.046997070312,-0.03218355397874073,2026,2026-01
2026-01-07,29850.199829101562,30910.046997070312,-0.03428811247259522,2026,2026-01
2026-01-08,29687.571166992188,30910.046997070312,-0.03954946526590508,2026,2026-01
2026-01-09,29687.571166992188,30910.046997070312,-0.03954946526590508,2026,2026-01
2026-01-13,29687.571166992188,30910.046997070312,-0.03954946526590508,2026,2026-01
2026-01-14,29687.571166992188,30910.046997070312,-0.03954946526590508,2026,2026-01
2026-01-15,29687.571166992188,30910.046997070312,-0.03954946526590508,2026,2026-01
2026-01-16,29687.571166992188,30910.046997070312,-0.03954946526590508,2026,2026-01
2026-01-19,29687.571166992188,30910.046997070312,-0.03954946526590508,2026,2026-01
2026-01-20,29687.571166992188,30910.046997070312,-0.03954946526590508,2026,2026-01
2026-01-21,29687.571166992188,30910.046997070312,-0.03954946526590508,2026,2026-01
2026-01-22,29687.571166992188,30910.046997070312,-0.03954946526590508,2026,2026-01
2026-01-23,29687.571166992188,30910.046997070312,-0.03954946526590508,2026,2026-01
2026-01-26,29687.571166992188,30910.046997070312,-0.03954946526590508,2026,2026-01
2026-01-27,29687.571166992188,30910.046997070312,-0.03954946526590508,2026,2026-01
2026-01-28,29687.571166992188,30910.046997070312,-0.03954946526590508,2026,2026-01
2026-01-29,29687.571166992188,30910.046997070312,-0.03954946526590508,2026,2026-01
2026-01-30,30485.571166992188,30910.046997070312,-0.013732616780503637,2026,2026-01
2026-02-02,30983.571166992188,30983.571166992188,0.0,2026,2026-02
2026-02-03,31271.571166992188,31271.571166992188,0.0,2026,2026-02
